,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
91,tuktoyaktuk,90,CA,1603852267,92,69.45,-133.04,262.15,7.2
92,mataura,98,NZ,1603852238,73,-46.19,168.86,287.04,4.92
93,yulara,0,AU,1603852400,10,-25.24,130.99,304.15,2.6
94,liverpool,96,GB,1603852274,87,53.41,-2.98,281.48,5.7
95,amderma,,,,,,,,
96,illoqqortoormiut,,,,,,,,
97,severodvinsk,90,RU,1603852401,93,64.56,39.83,280.15,4
98,bargal,,,,,,,,
99,dzhebariki-khaya,100,RU,1603852402,94,62.22,135.8,265.39,1.34
100,fairbanks,90,US,1603852201,92,64.84,-147.72,271.15,2.1
101,tuatapere,100,NZ,1603852347,73,-46.13,167.68,287.04,4.92
102,krasnaya gora,0,RU,1603852403,93,53,31.6,278.15,4
103,barra patuca,100,HN,1603852403,83,15.8,-84.28,299.86,3.17
104,xiaoweizhai,86,CN,1603852404,70,26.19,107.51,289.29,4.01
105,kavieng,67,PG,1603852347,66,-2.57,150.8,302.39,1.93
106,klaksvik,98,FO,1603852404,87,62.23,-6.59,280.15,6.2
107,kargasok,100,RU,1603852404,98,59.06,80.86,268.57,7.57
108,kurchum,100,KZ,1603852405,56,48.57,83.65,280.44,7.34
109,broken hill,40,AU,1603852291,52,-31.95,141.43,293.15,5.7
110,vocklabruck,0,AT,1603852405,89,48.02,13.65,276.48,1.51
111,upernavik,0,GL,1603852256,78,72.79,-56.15,264.01,2.64
112,thoen,93,TH,1603852405,64,17.61,99.22,301.86,1.27
113,rawannawi,,,,,,,,
114,winneba,20,GH,1603852406,100,5.35,-0.62,298.15,3.1
115,east london,61,ZA,1603852406,77,-33.02,27.91,291.99,6.26
116,wladyslawowo,0,PL,1603852406,87,54.79,18.4,281.48,4.1
117,airai,50,TL,1603852254,65,-8.93,125.41,297.43,1.65
118,marti,20,CU,1603852407,100,22.95,-80.92,299.15,3.6
119,yumen,30,CN,1603852407,48,40.28,97.2,281.83,3.38
120,lebu,100,CL,1603852346,87,-37.62,-73.65,283.59,5.52
121,oda,75,JP,1603852408,72,35.18,132.5,291.15,1
122,anadyr,0,RU,1603852348,85,64.75,177.48,265.15,2
123,arraial do cabo,26,BR,1603852238,90,-22.97,-42.03,295.8,8.79
124,teguise,90,ES,1603852408,68,29.06,-13.56,294.15,6.7
125,kieta,31,PG,1603852408,70,-6.22,155.63,302.51,0.76
126,vila franca do campo,75,PT,1603852409,59,37.72,-25.43,291.15,3.6
127,kiruna,26,SE,1603852409,100,67.86,20.23,269.15,1
128,miquelon,76,PM,1603852409,74,47.1,-56.38,281.16,11.67
129,marfino,0,RU,1603852410,86,55.7,37.38,280.93,3
130,lannion,33,FR,1603852410,87,48.75,-3.42,284.15,5.7
131,nelson bay,90,AU,1603852410,88,-32.72,152.15,290.37,2.6
132,kamina,100,CD,1603852410,96,-8.74,24.99,290.8,0.75
133,tautira,75,PF,1603852410,74,-17.73,-149.15,301.15,7.2
134,chokwe,100,MZ,1603852411,73,-24.53,32.98,295.64,3.37
135,great yarmouth,15,GB,1603852327,97,52.61,1.73,280.93,0.89
136,carnarvon,0,AU,1603852411,57,-24.87,113.63,297.15,10.3
137,tasiilaq,100,GL,1603852411,34,65.61,-37.64,274.15,6.7
138,mitu,100,CO,1603852412,96,1.2,-70.17,296.49,0.68
139,trairi,100,BR,1603852412,81,-3.28,-39.27,298.59,3.71
140,noumea,20,NC,1603852412,41,-22.28,166.46,306.15,6.2
141,davidson,90,US,1603852412,77,36.15,-86.78,291.15,2.34
142,xining,0,CN,1603852244,72,36.62,101.77,276.63,1.29
143,hihifo,,,,,,,,
144,xai-xai,93,MZ,1603852413,88,-25.05,33.64,294.02,3.14
145,cidreira,100,BR,1603852413,88,-30.18,-50.21,290.13,5.63
146,kodiak,90,US,1603852346,48,57.79,-152.41,280.15,3.1
147,nikolskoye,90,RU,1603852414,87,59.7,30.79,284.26,4
148,esperance,90,AU,1603852414,72,-33.87,121.9,293.15,7.7
149,broome,90,US,1603852244,87,42.25,-75.83,280.37,1.5
150,laibin,5,CN,1603852415,55,23.7,109.27,297.75,8.66
151,pochutla,75,MX,1603852268,83,15.74,-96.47,298.15,1.22
152,entre rios,100,BR,1603852415,96,-11.94,-38.08,295.57,2.58
153,camalu,0,MX,1603852415,46,30.85,-116.07,289.33,2.89
154,waipawa,98,NZ,1603852416,67,-41.41,175.52,291.48,5.7
155,yerbogachen,94,RU,1603852416,93,61.28,108.01,266.76,2.81
156,shache,100,CN,1603852416,44,38.42,77.24,282.41,2.03
157,yashkul,79,RU,1603852416,75,46.17,45.34,280.65,8.32
158,general roca,0,AR,1603852417,35,-39.03,-67.58,287.15,2.1
159,severnoye,99,RU,1603852417,96,56.35,78.36,270.12,6.64
160,grand river south east,,,,,,,,
161,magistralnyy,100,RU,1603852417,92,56.17,107.45,273.6,2.19
162,saint-pierre,0,RE,1603852418,64,-21.34,55.48,294.15,2.6
163,kaitangata,43,NZ,1603852418,78,-46.28,169.85,285.37,5.81
164,teya,100,RU,1603852418,96,60.38,92.63,270.33,3.96
165,luderitz,0,NA,1603852418,81,-26.65,15.16,286.35,4.45
166,faya,0,SA,1603852419,30,18.39,42.45,285.15,2.42
167,thinadhoo,45,MV,1603852419,66,0.53,72.93,302.17,5.23
168,provideniya,90,RU,1603852419,95,64.38,-173.3,273.15,5
169,victoria,100,HK,1603852263,70,22.29,114.16,298.71,1.34
170,tiksi,1,RU,1603852419,90,71.69,128.87,253.67,6.2
171,westport,100,US,1603852358,82,41.14,-73.36,284.82,1.28
172,mys shmidta,,,,,,,,
173,makasar,20,ID,1603852373,59,-5.14,119.42,305.15,2.1
174,belyy yar,92,RU,1603852420,92,53.6,91.39,272.15,2
175,saint george,1,US,1603852308,17,37.1,-113.58,286.15,9.8
176,maceio,75,BR,1603852240,83,-9.67,-35.74,298.15,1.5
177,zlobin,20,HR,1603852421,93,45.29,14.65,285.37,2.1
178,clyde river,1,CA,1603852421,72,70.47,-68.59,261.15,2.1
179,codrington,81,AU,1603852422,71,-38.27,141.97,290.7,1.72
180,mahebourg,9,MU,1603852269,79,-20.41,57.7,294.82,0.89
181,katangli,69,RU,1603852422,67,51.71,143.23,278.58,0.91
182,el alto,100,PE,1603852422,89,-4.27,-81.21,290.69,7.05
183,chaman,0,PK,1603852422,30,30.92,66.45,286.65,1.87
184,castro,0,BR,1603852423,72,-24.79,-50.01,287.29,2
185,mar del plata,0,AR,1603852187,93,-38,-57.56,288.15,3.84
186,matara,80,LK,1603852423,72,5.95,80.54,301.32,2.65
187,vestmannaeyjar,47,IS,1603852423,68,63.44,-20.27,278.41,9.53
188,olinda,40,BR,1603852424,74,-8.01,-34.86,300.15,3.6
189,mildura,40,AU,1603852273,40,-34.2,142.15,295.15,3.6
190,nome,90,US,1603852424,86,64.5,-165.41,274.15,3.1
191,butaritari,15,KI,1603852340,66,3.07,172.79,300.45,1.87
192,nemuro,75,JP,1603852425,66,43.32,145.57,286.15,2.6
193,benjamin constant,75,BR,1603852425,100,-4.38,-70.03,299.15,0.83
194,charters towers,0,AU,1603852425,35,-20.1,146.27,304.28,3.47
195,belushya guba,,,,,,,,
196,pevek,100,RU,1603852254,96,69.7,170.31,266.92,4.24
197,louisbourg,,,,,,,,
198,tsihombe,,,,,,,,
199,nizhneyansk,,,,,,,,
200,bisira,90,PA,1603852426,100,8.52,-81.71,289,0.97
201,bathsheba,75,BB,1603852427,94,13.22,-59.52,299.15,7.2
202,savannah bight,89,HN,1603852427,80,16.45,-85.85,301.96,11.14
203,piacabucu,100,BR,1603852427,87,-10.41,-36.43,297.64,5.43
204,zaraza,0,VE,1603852427,96,9.35,-65.32,295.72,2
205,grand gaube,1,MU,1603852282,79,-20.01,57.66,294.82,0.89
206,praya,87,CV,1603852428,88,14.92,-23.51,298.15,5.7
207,tumannyy,,,,,,,,
208,makakilo city,1,US,1603852297,74,21.35,-158.09,300.15,1.5
209,pauini,100,BR,1603852428,97,-7.71,-66.98,295.8,1.89
210,xapuri,100,BR,1603852429,92,-10.65,-68.5,296.3,0.5
211,kovernino,1,RU,1603852429,90,57.13,43.81,274.38,4.12
212,pitimbu,40,BR,1603852429,88,-7.47,-34.81,298.15,2.6
213,port hardy,90,CA,1603852224,93,50.7,-127.42,282.15,2.6
214,zipaquira,40,CO,1603852177,87,5.02,-74,287.15,1
215,severo-kurilsk,7,RU,1603852430,77,50.68,156.12,280.55,2.05
216,verkhnevilyuysk,100,RU,1603852430,89,63.45,120.32,260.75,1.06
217,labuhan,84,ID,1603852430,62,-6.88,112.21,303.84,2.88
218,emerald,40,AU,1603852430,45,-23.53,148.17,303.15,4.6
219,mayahi,7,NE,1603852431,17,13.96,7.67,298.44,3.54
220,maniitsoq,5,GL,1603852431,86,65.42,-52.9,266.59,3.21
221,cabo san lucas,75,MX,1603852224,64,22.89,-109.91,297.15,2.6
222,coquimbo,0,CL,1603852356,87,-29.95,-71.34,285.15,2.1
223,micheweni,21,TZ,1603852431,85,-4.97,39.83,298.15,3.15
224,mafeteng,39,LS,1603852432,55,-29.82,27.24,289.51,2.91
225,ayagoz,2,KZ,1603852432,78,47.97,80.44,274.09,10.26
226,tasbuget,,,,,,,,
227,mehamn,100,NO,1603852432,83,71.04,27.85,275.42,4.72
228,husavik,90,IS,1603852433,69,66.04,-17.34,276.15,2.6
229,la libertad,90,EC,1603852433,85,-2.23,-80.9,294.34,4.89
230,mersing,99,MY,1603852176,70,2.43,103.84,302.33,2.72
231,hailar,0,CN,1603852433,80,49.2,119.7,273.04,5.88
232,port alfred,57,ZA,1603852434,87,-33.59,26.89,290.06,5.17
233,maine-soroa,0,NE,1603852434,19,13.21,12.02,298.13,3.63
234,kovdor,99,RU,1603852434,92,67.57,30.48,275.49,3.67
235,northam,76,GB,1603852434,90,51.03,-4.22,283.15,3.58
236,lodja,100,CD,1603852435,96,-3.48,23.43,293.08,0.48
237,samalaeulu,,,,,,,,
238,taoudenni,0,ML,1603852435,19,22.68,-3.98,298.35,0.45
239,fortuna,1,US,1603852435,81,40.6,-124.16,283.15,1.35
240,toora-khem,0,RU,1603852436,79,52.47,96.11,274.34,1.31
241,weyburn,56,CA,1603852436,78,49.67,-103.85,277.04,4.47
242,merauke,71,ID,1603852199,56,-8.47,140.33,303.68,2.08
243,artyk,,,,,,,,
244,sioux lookout,90,CA,1603852436,86,50.1,-91.92,270.15,7.2
